,location,age_start,age_end,affected_outcome,lower,median,upper,location_id,national_id
102,Benue,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25324,214
103,Benue,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25324,214
104,Borno,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.61,25325,214
105,Borno,0.5,0.833333333,mild_to_mam_rate,0.25,0.43,0.77,25325,214
106,Borno,0.5,0.833333333,tmrel_to_mild_rate,0.61,0.71,0.87,25325,214
107,Borno,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25325,214
108,Borno,0.833333333,1.5,mild_to_mam_rate,0.76,0.84,0.93,25325,214
109,Borno,0.833333333,1.5,tmrel_to_mild_rate,0.81,0.87,0.95,25325,214
110,Borno,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25325,214
111,Borno,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25325,214
112,Cross River,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.65,25326,214
113,Cross River,0.5,0.833333333,mild_to_mam_rate,0.49,0.65,0.87,25326,214
114,Cross River,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.81,0.93,25326,214
115,Cross River,0.833333333,1.5,mam_to_sam_rate,0.69,0.8,0.92,25326,214
116,Cross River,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,25326,214
117,Cross River,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25326,214
118,Cross River,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25326,214
119,Cross River,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25326,214
120,Delta,0.5,0.833333333,mam_to_sam_rate,0.05,0.25,0.67,25327,214
121,Delta,0.5,0.833333333,mild_to_mam_rate,0.49,0.65,0.87,25327,214
122,Delta,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,25327,214
123,Delta,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25327,214
124,Delta,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25327,214
125,Delta,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25327,214
126,Delta,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25327,214
127,Delta,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25327,214
128,Dire Dawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.61,44862,179
129,Dire Dawa,0.5,0.833333333,mild_to_mam_rate,0.47,0.61,0.85,44862,179
130,Dire Dawa,0.5,0.833333333,tmrel_to_mild_rate,0.57,0.69,0.89,44862,179
131,Dire Dawa,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,44862,179
132,Dire Dawa,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,44862,179
133,Dire Dawa,0.833333333,1.5,tmrel_to_mild_rate,0.83,0.88,0.96,44862,179
134,Dire Dawa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44862,179
135,Dire Dawa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44862,179
136,Ebonyi,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,25328,214
137,Ebonyi,0.5,0.833333333,mild_to_mam_rate,0.37,0.57,0.83,25328,214
138,Ebonyi,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.77,0.91,25328,214
139,Ebonyi,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,25328,214
140,Ebonyi,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25328,214
141,Ebonyi,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25328,214
142,Ebonyi,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25328,214
143,Ebonyi,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25328,214
144,Edo,0.5,0.833333333,mam_to_sam_rate,0.05,0.19,0.63,25329,214
145,Edo,0.5,0.833333333,mild_to_mam_rate,0.37,0.55,0.83,25329,214
146,Edo,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.77,0.91,25329,214
147,Edo,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25329,214
148,Edo,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25329,214
149,Edo,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25329,214
150,Edo,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25329,214
151,Edo,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25329,214
152,Ekiti,0.5,0.833333333,mam_to_sam_rate,0.05,0.33,0.71,25330,214
153,Ekiti,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25330,214
154,Ekiti,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.83,0.93,25330,214
155,Ekiti,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,25330,214
156,Ekiti,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25330,214
157,Ekiti,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25330,214
158,Ekiti,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25330,214
159,Ekiti,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25330,214
160,Enugu,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.71,25331,214
161,Enugu,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25331,214
162,Enugu,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.85,0.95,25331,214
163,Enugu,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25331,214
164,Enugu,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25331,214
165,Enugu,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.92,0.97,25331,214
166,Enugu,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25331,214
167,Enugu,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25331,214
168,FCT (Abuja),0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25332,214
169,FCT (Abuja),0.5,0.833333333,mild_to_mam_rate,0.59,0.73,0.91,25332,214
170,FCT (Abuja),0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,25332,214
171,FCT (Abuja),0.833333333,1.5,mam_to_sam_rate,0.71,0.82,0.94,25332,214
172,FCT (Abuja),0.833333333,1.5,mild_to_mam_rate,0.88,0.94,1,25332,214
173,FCT (Abuja),0.833333333,1.5,tmrel_to_mild_rate,0.87,0.92,0.97,25332,214
174,FCT (Abuja),0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25332,214
175,FCT (Abuja),0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25332,214
176,Gambella,0.5,0.833333333,mam_to_sam_rate,0.15,0.43,0.75,44860,179
177,Gambella,0.5,0.833333333,mild_to_mam_rate,0.57,0.73,0.89,44860,179
178,Gambella,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.77,0.91,44860,179
179,Gambella,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,44860,179
180,Gambella,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.97,44860,179
181,Gambella,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.88,0.95,44860,179
182,Gambella,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44860,179
183,Gambella,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44860,179
184,Gilgit-Baltistan,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,53617,165
185,Gilgit-Baltistan,0.5,0.833333333,mild_to_mam_rate,0.55,0.69,0.89,53617,165
186,Gilgit-Baltistan,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.93,53617,165
187,Gilgit-Baltistan,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,53617,165
188,Gilgit-Baltistan,0.833333333,1.5,mild_to_mam_rate,0.89,0.94,0.98,53617,165
189,Gilgit-Baltistan,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.93,1,53617,165
190,Gilgit-Baltistan,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53617,165
191,Gilgit-Baltistan,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53617,165
192,Gombe,0.5,0.833333333,mam_to_sam_rate,0.05,0.29,0.69,25333,214
193,Gombe,0.5,0.833333333,mild_to_mam_rate,0.47,0.65,0.87,25333,214
194,Gombe,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.79,0.91,25333,214
195,Gombe,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25333,214
196,Gombe,0.833333333,1.5,mild_to_mam_rate,0.79,0.86,0.93,25333,214
197,Gombe,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.87,0.95,25333,214
198,Gombe,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25333,214
199,Gombe,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25333,214
200,Harari,0.5,0.833333333,mam_to_sam_rate,0.05,0.13,0.59,44859,179
201,Harari,0.5,0.833333333,mild_to_mam_rate,0.53,0.67,0.87,44859,179
202,Harari,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,44859,179
203,Harari,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,44859,179
204,Harari,0.833333333,1.5,mild_to_mam_rate,0.85,0.9,0.96,44859,179
205,Harari,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,44859,179
206,Harari,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44859,179
207,Harari,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44859,179
208,Imo,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.65,25334,214
209,Imo,0.5,0.833333333,mild_to_mam_rate,0.45,0.61,0.85,25334,214
210,Imo,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.77,0.91,25334,214
211,Imo,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25334,214
212,Imo,0.833333333,1.5,mild_to_mam_rate,0.82,0.89,0.95,25334,214
213,Imo,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25334,214
214,Imo,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25334,214
215,Imo,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25334,214
216,Islamabad Capital Territory,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.67,53618,165
217,Islamabad Capital Territory,0.5,0.833333333,mild_to_mam_rate,0.55,0.69,0.89,53618,165
218,Islamabad Capital Territory,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,53618,165
219,Islamabad Capital Territory,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,53618,165
220,Islamabad Capital Territory,0.833333333,1.5,mild_to_mam_rate,0.89,0.94,0.99,53618,165
221,Islamabad Capital Territory,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.93,0.99,53618,165
222,Islamabad Capital Territory,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53618,165
223,Islamabad Capital Territory,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53618,165
224,Jigawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.65,25335,214
225,Jigawa,0.5,0.833333333,mild_to_mam_rate,0.35,0.53,0.83,25335,214
226,Jigawa,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25335,214
227,Jigawa,0.833333333,1.5,mam_to_sam_rate,0.66,0.76,0.87,25335,214
228,Jigawa,0.833333333,1.5,mild_to_mam_rate,0.76,0.84,0.92,25335,214
229,Jigawa,0.833333333,1.5,tmrel_to_mild_rate,0.81,0.87,0.94,25335,214
230,Jigawa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25335,214
231,Jigawa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25335,214
232,Kaduna,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,25336,214
233,Kaduna,0.5,0.833333333,mild_to_mam_rate,0.39,0.57,0.85,25336,214
234,Kaduna,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.77,0.91,25336,214
235,Kaduna,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25336,214
236,Kaduna,0.833333333,1.5,mild_to_mam_rate,0.81,0.88,0.95,25336,214
237,Kaduna,0.833333333,1.5,tmrel_to_mild_rate,0.83,0.88,0.96,25336,214
238,Kaduna,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25336,214
239,Kaduna,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25336,214
240,Kano,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,25337,214
241,Kano,0.5,0.833333333,mild_to_mam_rate,0.35,0.53,0.83,25337,214
242,Kano,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25337,214
243,Kano,0.833333333,1.5,mam_to_sam_rate,0.66,0.77,0.88,25337,214
244,Kano,0.833333333,1.5,mild_to_mam_rate,0.78,0.85,0.93,25337,214
245,Kano,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.88,0.95,25337,214
246,Kano,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25337,214
247,Kano,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25337,214
248,Katsina,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.67,25338,214
249,Katsina,0.5,0.833333333,mild_to_mam_rate,0.31,0.49,0.81,25338,214
250,Katsina,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25338,214
251,Katsina,0.833333333,1.5,mam_to_sam_rate,0.66,0.76,0.87,25338,214
252,Katsina,0.833333333,1.5,mild_to_mam_rate,0.77,0.84,0.92,25338,214
253,Katsina,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.88,0.95,25338,214
254,Katsina,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25338,214
255,Katsina,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25338,214
256,Kebbi,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.63,25339,214
257,Kebbi,0.5,0.833333333,mild_to_mam_rate,0.31,0.51,0.81,25339,214
258,Kebbi,0.5,0.833333333,tmrel_to_mild_rate,0.57,0.69,0.87,25339,214
259,Kebbi,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25339,214
260,Kebbi,0.833333333,1.5,mild_to_mam_rate,0.76,0.84,0.92,25339,214
261,Kebbi,0.833333333,1.5,tmrel_to_mild_rate,0.8,0.86,0.94,25339,214
262,Kebbi,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25339,214
263,Kebbi,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25339,214
264,Khyber Pakhtunkhwa,0.5,0.833333333,mam_to_sam_rate,0.05,0.05,0.55,53619,165
265,Khyber Pakhtunkhwa,0.5,0.833333333,mild_to_mam_rate,0.33,0.49,0.81,53619,165
266,Khyber Pakhtunkhwa,0.5,0.833333333,tmrel_to_mild_rate,0.55,0.67,0.87,53619,165
267,Khyber Pakhtunkhwa,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,53619,165
268,Khyber Pakhtunkhwa,0.833333333,1.5,mild_to_mam_rate,0.88,0.93,0.98,53619,165
269,Khyber Pakhtunkhwa,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.91,0.99,53619,165
270,Khyber Pakhtunkhwa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53619,165
271,Khyber Pakhtunkhwa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53619,165
272,Kogi,0.5,0.833333333,mam_to_sam_rate,0.05,0.13,0.61,25340,214
273,Kogi,0.5,0.833333333,mild_to_mam_rate,0.21,0.37,0.75,25340,214
274,Kogi,0.5,0.833333333,tmrel_to_mild_rate,0.59,0.69,0.87,25340,214
275,Kogi,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25340,214
276,Kogi,0.833333333,1.5,mild_to_mam_rate,0.82,0.89,0.95,25340,214
277,Kogi,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.97,25340,214
278,Kogi,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25340,214
279,Kogi,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25340,214
280,Kwara,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,25341,214
281,Kwara,0.5,0.833333333,mild_to_mam_rate,0.45,0.61,0.87,25341,214
282,Kwara,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.93,25341,214
283,Kwara,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.9,25341,214
284,Kwara,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25341,214
285,Kwara,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.97,25341,214
286,Kwara,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25341,214
287,Kwara,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25341,214
288,Lagos,0.5,0.833333333,mam_to_sam_rate,0.05,0.17,0.65,25342,214
289,Lagos,0.5,0.833333333,mild_to_mam_rate,0.29,0.47,0.81,25342,214
290,Lagos,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.73,0.89,25342,214
291,Lagos,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.9,25342,214
292,Lagos,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25342,214
293,Lagos,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.96,25342,214
294,Lagos,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25342,214
295,Lagos,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25342,214
296,Nasarawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.67,25343,214
