,location,age_start,age_end,affected_outcome,lower,median,upper,location_id,national_id,effect_size
52,Bauchi,0.833333333,1.5,mild_to_mam_rate,0.92,0.99,1.0,25322,214,modified
53,Bauchi,0.833333333,1.5,tmrel_to_mild_rate,0.67,0.93,1.0,25322,214,modified
54,Bauchi,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25322,214,modified
55,Bauchi,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25322,214,modified
56,Bayelsa,0.5,0.833333333,mam_to_sam_rate,0.05,0.59,1.0,25323,214,modified
57,Bayelsa,0.5,0.833333333,mild_to_mam_rate,0.61,0.91,1.0,25323,214,modified
58,Bayelsa,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.91,1.0,25323,214,modified
59,Bayelsa,0.833333333,1.5,mam_to_sam_rate,0.65,0.84,1.0,25323,214,modified
60,Bayelsa,0.833333333,1.5,mild_to_mam_rate,0.96,0.99,1.0,25323,214,modified
61,Bayelsa,0.833333333,1.5,tmrel_to_mild_rate,0.73,0.91,1.0,25323,214,modified
62,Bayelsa,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25323,214,modified
63,Bayelsa,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25323,214,modified
64,Benue,0.5,0.833333333,mam_to_sam_rate,0.05,0.59,1.0,25324,214,modified
65,Benue,0.5,0.833333333,mild_to_mam_rate,0.59,0.93,1.0,25324,214,modified
66,Benue,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.89,1.0,25324,214,modified
67,Benue,0.833333333,1.5,mam_to_sam_rate,0.64,0.83,1.0,25324,214,modified
68,Benue,0.833333333,1.5,mild_to_mam_rate,0.95,0.99,1.0,25324,214,modified
69,Benue,0.833333333,1.5,tmrel_to_mild_rate,0.72,0.91,1.0,25324,214,modified
70,Benue,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25324,214,modified
71,Benue,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25324,214,modified
72,Borno,0.5,0.833333333,mam_to_sam_rate,0.05,0.07,0.63,25325,214,modified
73,Borno,0.5,0.833333333,mild_to_mam_rate,0.29,0.41,0.75,25325,214,modified
74,Borno,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.93,25325,214,modified
75,Borno,0.833333333,1.5,mam_to_sam_rate,0.61,0.75,0.91,25325,214,modified
76,Borno,0.833333333,1.5,mild_to_mam_rate,0.75,0.82,0.89,25325,214,modified
77,Borno,0.833333333,1.5,tmrel_to_mild_rate,0.73,0.82,0.95,25325,214,modified
78,Borno,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,25325,214,modified
79,Borno,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,25325,214,modified
80,Cross River,0.5,0.833333333,mam_to_sam_rate,0.05,0.53,1.0,25326,214,modified
81,Cross River,0.5,0.833333333,mild_to_mam_rate,0.53,0.89,1.0,25326,214,modified
82,Cross River,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.89,1.0,25326,214,modified
83,Cross River,0.833333333,1.5,mam_to_sam_rate,0.67,0.85,1.0,25326,214,modified
84,Cross River,0.833333333,1.5,mild_to_mam_rate,0.97,0.99,1.0,25326,214,modified
85,Cross River,0.833333333,1.5,tmrel_to_mild_rate,0.72,0.91,1.0,25326,214,modified
86,Cross River,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25326,214,modified
87,Cross River,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25326,214,modified
88,Delta,0.5,0.833333333,mam_to_sam_rate,0.05,0.55,1.0,25327,214,modified
89,Delta,0.5,0.833333333,mild_to_mam_rate,0.55,0.89,1.0,25327,214,modified
90,Delta,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.89,1.0,25327,214,modified
91,Delta,0.833333333,1.5,mam_to_sam_rate,0.64,0.83,1.0,25327,214,modified
92,Delta,0.833333333,1.5,mild_to_mam_rate,0.95,0.99,1.0,25327,214,modified
93,Delta,0.833333333,1.5,tmrel_to_mild_rate,0.71,0.91,1.0,25327,214,modified
94,Delta,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25327,214,modified
95,Delta,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25327,214,modified
96,Ebonyi,0.5,0.833333333,mam_to_sam_rate,0.05,0.53,1.0,25328,214,modified
97,Ebonyi,0.5,0.833333333,mild_to_mam_rate,0.43,0.85,1.0,25328,214,modified
98,Ebonyi,0.5,0.833333333,tmrel_to_mild_rate,0.61,0.87,1.0,25328,214,modified
99,Ebonyi,0.833333333,1.5,mam_to_sam_rate,0.64,0.82,1.0,25328,214,modified
100,Ebonyi,0.833333333,1.5,mild_to_mam_rate,0.93,0.99,1.0,25328,214,modified
101,Ebonyi,0.833333333,1.5,tmrel_to_mild_rate,0.7,0.9,1.0,25328,214,modified
102,Ebonyi,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25328,214,modified
103,Ebonyi,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25328,214,modified
104,Edo,0.5,0.833333333,mam_to_sam_rate,0.05,0.51,1.0,25329,214,modified
105,Edo,0.5,0.833333333,mild_to_mam_rate,0.43,0.85,1.0,25329,214,modified
106,Edo,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.87,1.0,25329,214,modified
107,Edo,0.833333333,1.5,mam_to_sam_rate,0.65,0.84,1.0,25329,214,modified
108,Edo,0.833333333,1.5,mild_to_mam_rate,0.96,0.99,1.0,25329,214,modified
109,Edo,0.833333333,1.5,tmrel_to_mild_rate,0.72,0.91,1.0,25329,214,modified
110,Edo,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25329,214,modified
111,Edo,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25329,214,modified
112,Ekiti,0.5,0.833333333,mam_to_sam_rate,0.05,0.59,1.0,25330,214,modified
113,Ekiti,0.5,0.833333333,mild_to_mam_rate,0.59,0.93,1.0,25330,214,modified
114,Ekiti,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.89,1.0,25330,214,modified
115,Ekiti,0.833333333,1.5,mam_to_sam_rate,0.64,0.82,1.0,25330,214,modified
116,Ekiti,0.833333333,1.5,mild_to_mam_rate,0.96,0.99,1.0,25330,214,modified
117,Ekiti,0.833333333,1.5,tmrel_to_mild_rate,0.72,0.91,1.0,25330,214,modified
118,Ekiti,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25330,214,modified
119,Ekiti,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25330,214,modified
120,Enugu,0.5,0.833333333,mam_to_sam_rate,0.05,0.59,1.0,25331,214,modified
121,Enugu,0.5,0.833333333,mild_to_mam_rate,0.59,0.93,1.0,25331,214,modified
122,Enugu,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.89,1.0,25331,214,modified
123,Enugu,0.833333333,1.5,mam_to_sam_rate,0.64,0.83,1.0,25331,214,modified
124,Enugu,0.833333333,1.5,mild_to_mam_rate,0.96,0.99,1.0,25331,214,modified
125,Enugu,0.833333333,1.5,tmrel_to_mild_rate,0.73,0.91,1.0,25331,214,modified
126,Enugu,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25331,214,modified
127,Enugu,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25331,214,modified
128,FCT (Abuja),0.5,0.833333333,mam_to_sam_rate,0.05,0.57,1.0,25332,214,modified
129,FCT (Abuja),0.5,0.833333333,mild_to_mam_rate,0.63,0.93,1.0,25332,214,modified
130,FCT (Abuja),0.5,0.833333333,tmrel_to_mild_rate,0.67,0.89,1.0,25332,214,modified
131,FCT (Abuja),0.833333333,1.5,mam_to_sam_rate,0.68,0.85,1.0,25332,214,modified
132,FCT (Abuja),0.833333333,1.5,mild_to_mam_rate,0.99,0.99,1.0,25332,214,modified
133,FCT (Abuja),0.833333333,1.5,tmrel_to_mild_rate,0.73,0.93,1.0,25332,214,modified
134,FCT (Abuja),0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25332,214,modified
135,FCT (Abuja),0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25332,214,modified
136,Gilgit-Baltistan,0.5,0.833333333,mam_to_sam_rate,0.05,0.55,1.0,53617,165,modified
137,Gilgit-Baltistan,0.5,0.833333333,mild_to_mam_rate,0.59,0.91,1.0,53617,165,modified
138,Gilgit-Baltistan,0.5,0.833333333,tmrel_to_mild_rate,0.61,0.89,1.0,53617,165,modified
139,Gilgit-Baltistan,0.833333333,1.5,mam_to_sam_rate,0.65,0.83,1.0,53617,165,modified
140,Gilgit-Baltistan,0.833333333,1.5,mild_to_mam_rate,0.99,0.99,1.0,53617,165,modified
141,Gilgit-Baltistan,0.833333333,1.5,tmrel_to_mild_rate,0.72,0.93,1.0,53617,165,modified
142,Gilgit-Baltistan,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,53617,165,modified
143,Gilgit-Baltistan,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,53617,165,modified
144,Gombe,0.5,0.833333333,mam_to_sam_rate,0.05,0.19,0.69,25333,214,modified
145,Gombe,0.5,0.833333333,mild_to_mam_rate,0.45,0.61,0.81,25333,214,modified
146,Gombe,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.81,0.95,25333,214,modified
147,Gombe,0.833333333,1.5,mam_to_sam_rate,0.61,0.75,0.91,25333,214,modified
148,Gombe,0.833333333,1.5,mild_to_mam_rate,0.79,0.85,0.9,25333,214,modified
149,Gombe,0.833333333,1.5,tmrel_to_mild_rate,0.74,0.83,0.95,25333,214,modified
150,Gombe,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,25333,214,modified
151,Gombe,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,25333,214,modified
152,Imo,0.5,0.833333333,mam_to_sam_rate,0.05,0.53,1.0,25334,214,modified
153,Imo,0.5,0.833333333,mild_to_mam_rate,0.51,0.87,1.0,25334,214,modified
154,Imo,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.87,1.0,25334,214,modified
155,Imo,0.833333333,1.5,mam_to_sam_rate,0.65,0.83,1.0,25334,214,modified
156,Imo,0.833333333,1.5,mild_to_mam_rate,0.94,0.99,1.0,25334,214,modified
157,Imo,0.833333333,1.5,tmrel_to_mild_rate,0.71,0.9,1.0,25334,214,modified
158,Imo,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25334,214,modified
159,Imo,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25334,214,modified
160,Islamabad Capital Territory,0.5,0.833333333,mam_to_sam_rate,0.05,0.53,1.0,53618,165,modified
161,Islamabad Capital Territory,0.5,0.833333333,mild_to_mam_rate,0.59,0.91,1.0,53618,165,modified
162,Islamabad Capital Territory,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.89,1.0,53618,165,modified
163,Islamabad Capital Territory,0.833333333,1.5,mam_to_sam_rate,0.65,0.84,1.0,53618,165,modified
164,Islamabad Capital Territory,0.833333333,1.5,mild_to_mam_rate,0.99,0.99,1.0,53618,165,modified
165,Islamabad Capital Territory,0.833333333,1.5,tmrel_to_mild_rate,0.73,0.92,1.0,53618,165,modified
166,Islamabad Capital Territory,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,53618,165,modified
167,Islamabad Capital Territory,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,53618,165,modified
168,Jigawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.11,0.65,25335,214,modified
169,Jigawa,0.5,0.833333333,mild_to_mam_rate,0.35,0.49,0.77,25335,214,modified
170,Jigawa,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.79,0.93,25335,214,modified
171,Jigawa,0.833333333,1.5,mam_to_sam_rate,0.59,0.73,0.88,25335,214,modified
172,Jigawa,0.833333333,1.5,mild_to_mam_rate,0.76,0.82,0.88,25335,214,modified
173,Jigawa,0.833333333,1.5,tmrel_to_mild_rate,0.73,0.82,0.95,25335,214,modified
174,Jigawa,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,25335,214,modified
175,Jigawa,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,25335,214,modified
176,Kaduna,0.5,0.833333333,mam_to_sam_rate,0.05,0.13,0.67,25336,214,modified
177,Kaduna,0.5,0.833333333,mild_to_mam_rate,0.39,0.53,0.79,25336,214,modified
178,Kaduna,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.79,0.95,25336,214,modified
179,Kaduna,0.833333333,1.5,mam_to_sam_rate,0.62,0.75,0.92,25336,214,modified
180,Kaduna,0.833333333,1.5,mild_to_mam_rate,0.82,0.87,0.91,25336,214,modified
181,Kaduna,0.833333333,1.5,tmrel_to_mild_rate,0.75,0.84,0.96,25336,214,modified
182,Kaduna,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,25336,214,modified
183,Kaduna,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,25336,214,modified
184,Kano,0.5,0.833333333,mam_to_sam_rate,0.05,0.11,0.67,25337,214,modified
185,Kano,0.5,0.833333333,mild_to_mam_rate,0.37,0.49,0.79,25337,214,modified
186,Kano,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.79,0.95,25337,214,modified
187,Kano,0.833333333,1.5,mam_to_sam_rate,0.6,0.74,0.89,25337,214,modified
188,Kano,0.833333333,1.5,mild_to_mam_rate,0.78,0.84,0.9,25337,214,modified
189,Kano,0.833333333,1.5,tmrel_to_mild_rate,0.75,0.83,0.96,25337,214,modified
190,Kano,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,25337,214,modified
191,Kano,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,25337,214,modified
192,Katsina,0.5,0.833333333,mam_to_sam_rate,0.05,0.11,0.67,25338,214,modified
193,Katsina,0.5,0.833333333,mild_to_mam_rate,0.33,0.45,0.77,25338,214,modified
194,Katsina,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.77,0.93,25338,214,modified
195,Katsina,0.833333333,1.5,mam_to_sam_rate,0.6,0.73,0.89,25338,214,modified
196,Katsina,0.833333333,1.5,mild_to_mam_rate,0.77,0.83,0.89,25338,214,modified
197,Katsina,0.833333333,1.5,tmrel_to_mild_rate,0.75,0.83,0.96,25338,214,modified
198,Katsina,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,25338,214,modified
199,Katsina,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,25338,214,modified
200,Kebbi,0.5,0.833333333,mam_to_sam_rate,0.05,0.11,0.65,25339,214,modified
201,Kebbi,0.5,0.833333333,mild_to_mam_rate,0.33,0.47,0.77,25339,214,modified
202,Kebbi,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.75,0.93,25339,214,modified
203,Kebbi,0.833333333,1.5,mam_to_sam_rate,0.62,0.76,0.92,25339,214,modified
204,Kebbi,0.833333333,1.5,mild_to_mam_rate,0.76,0.83,0.89,25339,214,modified
205,Kebbi,0.833333333,1.5,tmrel_to_mild_rate,0.72,0.81,0.94,25339,214,modified
206,Kebbi,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,25339,214,modified
207,Kebbi,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,25339,214,modified
208,Khyber Pakhtunkhwa,0.5,0.833333333,mam_to_sam_rate,0.05,0.05,0.55,53619,165,modified
209,Khyber Pakhtunkhwa,0.5,0.833333333,mild_to_mam_rate,0.33,0.49,0.77,53619,165,modified
210,Khyber Pakhtunkhwa,0.5,0.833333333,tmrel_to_mild_rate,0.61,0.75,0.93,53619,165,modified
211,Khyber Pakhtunkhwa,0.833333333,1.5,mam_to_sam_rate,0.61,0.74,0.9,53619,165,modified
212,Khyber Pakhtunkhwa,0.833333333,1.5,mild_to_mam_rate,0.91,0.93,0.94,53619,165,modified
213,Khyber Pakhtunkhwa,0.833333333,1.5,tmrel_to_mild_rate,0.77,0.86,1.0,53619,165,modified
214,Khyber Pakhtunkhwa,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,53619,165,modified
215,Khyber Pakhtunkhwa,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,53619,165,modified
216,Kogi,0.5,0.833333333,mam_to_sam_rate,0.05,0.51,1.0,25340,214,modified
217,Kogi,0.5,0.833333333,mild_to_mam_rate,0.29,0.77,1.0,25340,214,modified
218,Kogi,0.5,0.833333333,tmrel_to_mild_rate,0.57,0.85,1.0,25340,214,modified
219,Kogi,0.833333333,1.5,mam_to_sam_rate,0.65,0.83,1.0,25340,214,modified
220,Kogi,0.833333333,1.5,mild_to_mam_rate,0.94,0.99,1.0,25340,214,modified
221,Kogi,0.833333333,1.5,tmrel_to_mild_rate,0.7,0.9,1.0,25340,214,modified
222,Kogi,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25340,214,modified
223,Kogi,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25340,214,modified
224,Kwara,0.5,0.833333333,mam_to_sam_rate,0.05,0.55,1.0,25341,214,modified
225,Kwara,0.5,0.833333333,mild_to_mam_rate,0.51,0.89,1.0,25341,214,modified
226,Kwara,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.89,1.0,25341,214,modified
227,Kwara,0.833333333,1.5,mam_to_sam_rate,0.65,0.84,1.0,25341,214,modified
228,Kwara,0.833333333,1.5,mild_to_mam_rate,0.95,0.99,1.0,25341,214,modified
229,Kwara,0.833333333,1.5,tmrel_to_mild_rate,0.7,0.9,1.0,25341,214,modified
230,Kwara,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25341,214,modified
231,Kwara,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25341,214,modified
232,Lagos,0.5,0.833333333,mam_to_sam_rate,0.05,0.51,1.0,25342,214,modified
233,Lagos,0.5,0.833333333,mild_to_mam_rate,0.37,0.81,1.0,25342,214,modified
234,Lagos,0.5,0.833333333,tmrel_to_mild_rate,0.59,0.87,1.0,25342,214,modified
235,Lagos,0.833333333,1.5,mam_to_sam_rate,0.65,0.84,1.0,25342,214,modified
236,Lagos,0.833333333,1.5,mild_to_mam_rate,0.93,0.99,1.0,25342,214,modified
237,Lagos,0.833333333,1.5,tmrel_to_mild_rate,0.69,0.9,1.0,25342,214,modified
238,Lagos,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25342,214,modified
239,Lagos,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25342,214,modified
240,Nasarawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.55,1.0,25343,214,modified
241,Nasarawa,0.5,0.833333333,mild_to_mam_rate,0.55,0.91,1.0,25343,214,modified
242,Nasarawa,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.89,1.0,25343,214,modified
243,Nasarawa,0.833333333,1.5,mam_to_sam_rate,0.65,0.83,1.0,25343,214,modified
244,Nasarawa,0.833333333,1.5,mild_to_mam_rate,0.96,0.99,1.0,25343,214,modified
245,Nasarawa,0.833333333,1.5,tmrel_to_mild_rate,0.72,0.91,1.0,25343,214,modified
246,Nasarawa,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25343,214,modified
247,Nasarawa,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25343,214,modified
248,Niger,0.5,0.833333333,mam_to_sam_rate,0.05,0.55,1.0,25344,214,modified
249,Niger,0.5,0.833333333,mild_to_mam_rate,0.49,0.87,1.0,25344,214,modified
250,Niger,0.5,0.833333333,tmrel_to_mild_rate,0.61,0.87,1.0,25344,214,modified
251,Niger,0.833333333,1.5,mam_to_sam_rate,0.64,0.83,1.0,25344,214,modified
252,Niger,0.833333333,1.5,mild_to_mam_rate,0.94,0.99,1.0,25344,214,modified
253,Niger,0.833333333,1.5,tmrel_to_mild_rate,0.69,0.9,1.0,25344,214,modified
254,Niger,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25344,214,modified
255,Niger,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25344,214,modified
256,Ogun,0.5,0.833333333,mam_to_sam_rate,0.05,0.53,1.0,25345,214,modified
257,Ogun,0.5,0.833333333,mild_to_mam_rate,0.45,0.85,1.0,25345,214,modified
258,Ogun,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.89,1.0,25345,214,modified
259,Ogun,0.833333333,1.5,mam_to_sam_rate,0.67,0.86,1.0,25345,214,modified
260,Ogun,0.833333333,1.5,mild_to_mam_rate,0.97,0.99,1.0,25345,214,modified
261,Ogun,0.833333333,1.5,tmrel_to_mild_rate,0.71,0.91,1.0,25345,214,modified
262,Ogun,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25345,214,modified
263,Ogun,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25345,214,modified
264,Ondo,0.5,0.833333333,mam_to_sam_rate,0.05,0.53,1.0,25346,214,modified
265,Ondo,0.5,0.833333333,mild_to_mam_rate,0.37,0.81,1.0,25346,214,modified
266,Ondo,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.87,1.0,25346,214,modified
267,Ondo,0.833333333,1.5,mam_to_sam_rate,0.67,0.85,1.0,25346,214,modified
268,Ondo,0.833333333,1.5,mild_to_mam_rate,0.99,0.99,1.0,25346,214,modified
269,Ondo,0.833333333,1.5,tmrel_to_mild_rate,0.74,0.93,1.0,25346,214,modified
270,Ondo,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25346,214,modified
271,Ondo,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25346,214,modified
272,Osun,0.5,0.833333333,mam_to_sam_rate,0.05,0.57,1.0,25347,214,modified
273,Osun,0.5,0.833333333,mild_to_mam_rate,0.55,0.91,1.0,25347,214,modified
