,effect_size,location,age_start,age_end,affected_outcome,lower,median,upper,location_id,national_id
54,standard,Anambra,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25321,214
55,standard,Anambra,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25321,214
56,standard,Azad Jammu & Kashmir,0.5,0.833333333,mam_to_sam_rate,0.09,0.39,0.71,53615,165
57,standard,Azad Jammu & Kashmir,0.5,0.833333333,mild_to_mam_rate,0.61,0.75,0.91,53615,165
58,standard,Azad Jammu & Kashmir,0.5,0.833333333,tmrel_to_mild_rate,0.45,0.63,0.87,53615,165
59,standard,Azad Jammu & Kashmir,0.833333333,1.5,mam_to_sam_rate,0.67,0.8,0.88,53615,165
60,standard,Azad Jammu & Kashmir,0.833333333,1.5,mild_to_mam_rate,0.93,0.9,0.97,53615,165
61,standard,Azad Jammu & Kashmir,0.833333333,1.5,tmrel_to_mild_rate,0.92,0.9,0.97,53615,165
62,standard,Azad Jammu & Kashmir,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53615,165
63,standard,Azad Jammu & Kashmir,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53615,165
64,standard,Balochistan,0.5,0.833333333,mam_to_sam_rate,0.05,0.05,0.29,53616,165
65,standard,Balochistan,0.5,0.833333333,mild_to_mam_rate,0.07,0.29,0.61,53616,165
66,standard,Balochistan,0.5,0.833333333,tmrel_to_mild_rate,0.45,0.57,0.77,53616,165
67,standard,Balochistan,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,53616,165
68,standard,Balochistan,0.833333333,1.5,mild_to_mam_rate,0.86,0.92,0.97,53616,165
69,standard,Balochistan,0.833333333,1.5,tmrel_to_mild_rate,0.77,0.84,0.93,53616,165
70,standard,Balochistan,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53616,165
71,standard,Balochistan,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53616,165
72,standard,Bauchi,0.5,0.833333333,mam_to_sam_rate,0.05,0.27,0.69,25322,214
73,standard,Bauchi,0.5,0.833333333,mild_to_mam_rate,0.49,0.65,0.87,25322,214
74,standard,Bauchi,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.93,25322,214
75,standard,Bauchi,0.833333333,1.5,mam_to_sam_rate,0.65,0.75,0.86,25322,214
76,standard,Bauchi,0.833333333,1.5,mild_to_mam_rate,0.8,0.87,0.93,25322,214
77,standard,Bauchi,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.87,0.94,25322,214
78,standard,Bauchi,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25322,214
79,standard,Bauchi,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25322,214
80,standard,Bayelsa,0.5,0.833333333,mam_to_sam_rate,0.05,0.33,0.71,25323,214
81,standard,Bayelsa,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25323,214
82,standard,Bayelsa,0.5,0.833333333,tmrel_to_mild_rate,0.79,0.85,0.95,25323,214
83,standard,Bayelsa,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25323,214
84,standard,Bayelsa,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25323,214
85,standard,Bayelsa,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25323,214
86,standard,Bayelsa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25323,214
87,standard,Bayelsa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25323,214
88,standard,Benishangul-Gumuz,0.5,0.833333333,mam_to_sam_rate,0.05,0.29,0.67,44857,179
89,standard,Benishangul-Gumuz,0.5,0.833333333,mild_to_mam_rate,0.61,0.75,0.91,44857,179
90,standard,Benishangul-Gumuz,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,44857,179
91,standard,Benishangul-Gumuz,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,44857,179
92,standard,Benishangul-Gumuz,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,44857,179
93,standard,Benishangul-Gumuz,0.833333333,1.5,tmrel_to_mild_rate,0.84,0.89,0.97,44857,179
94,standard,Benishangul-Gumuz,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44857,179
95,standard,Benishangul-Gumuz,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44857,179
96,standard,Benue,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25324,214
97,standard,Benue,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25324,214
98,standard,Benue,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.83,0.93,25324,214
99,standard,Benue,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.89,25324,214
100,standard,Benue,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25324,214
101,standard,Benue,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25324,214
102,standard,Benue,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25324,214
103,standard,Benue,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25324,214
104,standard,Borno,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.61,25325,214
105,standard,Borno,0.5,0.833333333,mild_to_mam_rate,0.25,0.43,0.77,25325,214
106,standard,Borno,0.5,0.833333333,tmrel_to_mild_rate,0.61,0.71,0.87,25325,214
107,standard,Borno,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25325,214
108,standard,Borno,0.833333333,1.5,mild_to_mam_rate,0.76,0.84,0.93,25325,214
109,standard,Borno,0.833333333,1.5,tmrel_to_mild_rate,0.81,0.87,0.95,25325,214
110,standard,Borno,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25325,214
111,standard,Borno,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25325,214
112,standard,Cross River,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.65,25326,214
113,standard,Cross River,0.5,0.833333333,mild_to_mam_rate,0.49,0.65,0.87,25326,214
114,standard,Cross River,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.81,0.93,25326,214
115,standard,Cross River,0.833333333,1.5,mam_to_sam_rate,0.69,0.8,0.92,25326,214
116,standard,Cross River,0.833333333,1.5,mild_to_mam_rate,0.85,0.91,0.97,25326,214
117,standard,Cross River,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25326,214
118,standard,Cross River,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25326,214
119,standard,Cross River,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25326,214
120,standard,Delta,0.5,0.833333333,mam_to_sam_rate,0.05,0.25,0.67,25327,214
121,standard,Delta,0.5,0.833333333,mild_to_mam_rate,0.49,0.65,0.87,25327,214
122,standard,Delta,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,25327,214
123,standard,Delta,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25327,214
124,standard,Delta,0.833333333,1.5,mild_to_mam_rate,0.83,0.89,0.96,25327,214
125,standard,Delta,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,25327,214
126,standard,Delta,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25327,214
127,standard,Delta,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25327,214
128,standard,Dire Dawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.15,0.61,44862,179
129,standard,Dire Dawa,0.5,0.833333333,mild_to_mam_rate,0.47,0.61,0.85,44862,179
130,standard,Dire Dawa,0.5,0.833333333,tmrel_to_mild_rate,0.57,0.69,0.89,44862,179
131,standard,Dire Dawa,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,44862,179
132,standard,Dire Dawa,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,44862,179
133,standard,Dire Dawa,0.833333333,1.5,tmrel_to_mild_rate,0.83,0.88,0.96,44862,179
134,standard,Dire Dawa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44862,179
135,standard,Dire Dawa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44862,179
136,standard,Ebonyi,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,25328,214
137,standard,Ebonyi,0.5,0.833333333,mild_to_mam_rate,0.37,0.57,0.83,25328,214
138,standard,Ebonyi,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.77,0.91,25328,214
139,standard,Ebonyi,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,25328,214
140,standard,Ebonyi,0.833333333,1.5,mild_to_mam_rate,0.82,0.88,0.95,25328,214
141,standard,Ebonyi,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25328,214
142,standard,Ebonyi,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25328,214
143,standard,Ebonyi,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25328,214
144,standard,Edo,0.5,0.833333333,mam_to_sam_rate,0.05,0.19,0.63,25329,214
145,standard,Edo,0.5,0.833333333,mild_to_mam_rate,0.37,0.55,0.83,25329,214
146,standard,Edo,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.77,0.91,25329,214
147,standard,Edo,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25329,214
148,standard,Edo,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25329,214
149,standard,Edo,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25329,214
150,standard,Edo,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25329,214
151,standard,Edo,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25329,214
152,standard,Ekiti,0.5,0.833333333,mam_to_sam_rate,0.05,0.33,0.71,25330,214
153,standard,Ekiti,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25330,214
154,standard,Ekiti,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.83,0.93,25330,214
155,standard,Ekiti,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,25330,214
156,standard,Ekiti,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25330,214
157,standard,Ekiti,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.91,0.97,25330,214
158,standard,Ekiti,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25330,214
159,standard,Ekiti,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25330,214
160,standard,Enugu,0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.71,25331,214
161,standard,Enugu,0.5,0.833333333,mild_to_mam_rate,0.55,0.71,0.89,25331,214
162,standard,Enugu,0.5,0.833333333,tmrel_to_mild_rate,0.77,0.85,0.95,25331,214
163,standard,Enugu,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25331,214
164,standard,Enugu,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.96,25331,214
165,standard,Enugu,0.833333333,1.5,tmrel_to_mild_rate,0.87,0.92,0.97,25331,214
166,standard,Enugu,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25331,214
167,standard,Enugu,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25331,214
168,standard,FCT (Abuja),0.5,0.833333333,mam_to_sam_rate,0.05,0.31,0.69,25332,214
169,standard,FCT (Abuja),0.5,0.833333333,mild_to_mam_rate,0.59,0.73,0.91,25332,214
170,standard,FCT (Abuja),0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,25332,214
171,standard,FCT (Abuja),0.833333333,1.5,mam_to_sam_rate,0.71,0.82,0.94,25332,214
172,standard,FCT (Abuja),0.833333333,1.5,mild_to_mam_rate,0.88,0.94,1,25332,214
173,standard,FCT (Abuja),0.833333333,1.5,tmrel_to_mild_rate,0.87,0.92,0.97,25332,214
174,standard,FCT (Abuja),0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25332,214
175,standard,FCT (Abuja),0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25332,214
176,standard,Gambella,0.5,0.833333333,mam_to_sam_rate,0.15,0.43,0.75,44860,179
177,standard,Gambella,0.5,0.833333333,mild_to_mam_rate,0.57,0.73,0.89,44860,179
178,standard,Gambella,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.77,0.91,44860,179
179,standard,Gambella,0.833333333,1.5,mam_to_sam_rate,0.7,0.81,0.93,44860,179
180,standard,Gambella,0.833333333,1.5,mild_to_mam_rate,0.84,0.9,0.97,44860,179
181,standard,Gambella,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.88,0.95,44860,179
182,standard,Gambella,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44860,179
183,standard,Gambella,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44860,179
184,standard,Gilgit-Baltistan,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,53617,165
185,standard,Gilgit-Baltistan,0.5,0.833333333,mild_to_mam_rate,0.55,0.69,0.89,53617,165
186,standard,Gilgit-Baltistan,0.5,0.833333333,tmrel_to_mild_rate,0.71,0.79,0.93,53617,165
187,standard,Gilgit-Baltistan,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,53617,165
188,standard,Gilgit-Baltistan,0.833333333,1.5,mild_to_mam_rate,0.89,0.94,0.98,53617,165
189,standard,Gilgit-Baltistan,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.93,1,53617,165
190,standard,Gilgit-Baltistan,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53617,165
191,standard,Gilgit-Baltistan,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53617,165
192,standard,Gombe,0.5,0.833333333,mam_to_sam_rate,0.05,0.29,0.69,25333,214
193,standard,Gombe,0.5,0.833333333,mild_to_mam_rate,0.47,0.65,0.87,25333,214
194,standard,Gombe,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.79,0.91,25333,214
195,standard,Gombe,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25333,214
196,standard,Gombe,0.833333333,1.5,mild_to_mam_rate,0.79,0.86,0.93,25333,214
197,standard,Gombe,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.87,0.95,25333,214
198,standard,Gombe,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25333,214
199,standard,Gombe,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25333,214
200,standard,Harari,0.5,0.833333333,mam_to_sam_rate,0.05,0.13,0.59,44859,179
201,standard,Harari,0.5,0.833333333,mild_to_mam_rate,0.53,0.67,0.87,44859,179
202,standard,Harari,0.5,0.833333333,tmrel_to_mild_rate,0.73,0.81,0.93,44859,179
203,standard,Harari,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,44859,179
204,standard,Harari,0.833333333,1.5,mild_to_mam_rate,0.85,0.9,0.96,44859,179
205,standard,Harari,0.833333333,1.5,tmrel_to_mild_rate,0.86,0.91,0.97,44859,179
206,standard,Harari,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,44859,179
207,standard,Harari,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,44859,179
208,standard,Imo,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.65,25334,214
209,standard,Imo,0.5,0.833333333,mild_to_mam_rate,0.45,0.61,0.85,25334,214
210,standard,Imo,0.5,0.833333333,tmrel_to_mild_rate,0.69,0.77,0.91,25334,214
211,standard,Imo,0.833333333,1.5,mam_to_sam_rate,0.68,0.78,0.89,25334,214
212,standard,Imo,0.833333333,1.5,mild_to_mam_rate,0.82,0.89,0.95,25334,214
213,standard,Imo,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.96,25334,214
214,standard,Imo,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25334,214
215,standard,Imo,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25334,214
216,standard,Islamabad Capital Territory,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.67,53618,165
217,standard,Islamabad Capital Territory,0.5,0.833333333,mild_to_mam_rate,0.55,0.69,0.89,53618,165
218,standard,Islamabad Capital Territory,0.5,0.833333333,tmrel_to_mild_rate,0.75,0.83,0.93,53618,165
219,standard,Islamabad Capital Territory,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,53618,165
220,standard,Islamabad Capital Territory,0.833333333,1.5,mild_to_mam_rate,0.89,0.94,0.99,53618,165
221,standard,Islamabad Capital Territory,0.833333333,1.5,tmrel_to_mild_rate,0.88,0.93,0.99,53618,165
222,standard,Islamabad Capital Territory,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53618,165
223,standard,Islamabad Capital Territory,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53618,165
224,standard,Jigawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.65,25335,214
225,standard,Jigawa,0.5,0.833333333,mild_to_mam_rate,0.35,0.53,0.83,25335,214
226,standard,Jigawa,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25335,214
227,standard,Jigawa,0.833333333,1.5,mam_to_sam_rate,0.66,0.76,0.87,25335,214
228,standard,Jigawa,0.833333333,1.5,mild_to_mam_rate,0.76,0.84,0.92,25335,214
229,standard,Jigawa,0.833333333,1.5,tmrel_to_mild_rate,0.81,0.87,0.94,25335,214
230,standard,Jigawa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25335,214
231,standard,Jigawa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25335,214
232,standard,Kaduna,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,25336,214
233,standard,Kaduna,0.5,0.833333333,mild_to_mam_rate,0.39,0.57,0.85,25336,214
234,standard,Kaduna,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.77,0.91,25336,214
235,standard,Kaduna,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25336,214
236,standard,Kaduna,0.833333333,1.5,mild_to_mam_rate,0.81,0.88,0.95,25336,214
237,standard,Kaduna,0.833333333,1.5,tmrel_to_mild_rate,0.83,0.88,0.96,25336,214
238,standard,Kaduna,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25336,214
239,standard,Kaduna,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25336,214
240,standard,Kano,0.5,0.833333333,mam_to_sam_rate,0.05,0.23,0.67,25337,214
241,standard,Kano,0.5,0.833333333,mild_to_mam_rate,0.35,0.53,0.83,25337,214
242,standard,Kano,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25337,214
243,standard,Kano,0.833333333,1.5,mam_to_sam_rate,0.66,0.77,0.88,25337,214
244,standard,Kano,0.833333333,1.5,mild_to_mam_rate,0.78,0.85,0.93,25337,214
245,standard,Kano,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.88,0.95,25337,214
246,standard,Kano,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25337,214
247,standard,Kano,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25337,214
248,standard,Katsina,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.67,25338,214
249,standard,Katsina,0.5,0.833333333,mild_to_mam_rate,0.31,0.49,0.81,25338,214
250,standard,Katsina,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.75,0.89,25338,214
251,standard,Katsina,0.833333333,1.5,mam_to_sam_rate,0.66,0.76,0.87,25338,214
252,standard,Katsina,0.833333333,1.5,mild_to_mam_rate,0.77,0.84,0.92,25338,214
253,standard,Katsina,0.833333333,1.5,tmrel_to_mild_rate,0.82,0.88,0.95,25338,214
254,standard,Katsina,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25338,214
255,standard,Katsina,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25338,214
256,standard,Kebbi,0.5,0.833333333,mam_to_sam_rate,0.05,0.21,0.63,25339,214
257,standard,Kebbi,0.5,0.833333333,mild_to_mam_rate,0.31,0.51,0.81,25339,214
258,standard,Kebbi,0.5,0.833333333,tmrel_to_mild_rate,0.57,0.69,0.87,25339,214
259,standard,Kebbi,0.833333333,1.5,mam_to_sam_rate,0.68,0.79,0.9,25339,214
260,standard,Kebbi,0.833333333,1.5,mild_to_mam_rate,0.76,0.84,0.92,25339,214
261,standard,Kebbi,0.833333333,1.5,tmrel_to_mild_rate,0.8,0.86,0.94,25339,214
262,standard,Kebbi,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,25339,214
263,standard,Kebbi,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,25339,214
264,standard,Khyber Pakhtunkhwa,0.5,0.833333333,mam_to_sam_rate,0.05,0.05,0.55,53619,165
265,standard,Khyber Pakhtunkhwa,0.5,0.833333333,mild_to_mam_rate,0.33,0.49,0.81,53619,165
266,standard,Khyber Pakhtunkhwa,0.5,0.833333333,tmrel_to_mild_rate,0.55,0.67,0.87,53619,165
267,standard,Khyber Pakhtunkhwa,0.833333333,1.5,mam_to_sam_rate,0.67,0.77,0.88,53619,165
268,standard,Khyber Pakhtunkhwa,0.833333333,1.5,mild_to_mam_rate,0.88,0.93,0.98,53619,165
269,standard,Khyber Pakhtunkhwa,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.91,0.99,53619,165
270,standard,Khyber Pakhtunkhwa,0,5,moderate_stunting_prevalence_ratio,0.86,0.89,0.93,53619,165
271,standard,Khyber Pakhtunkhwa,0,5,severe_stunting_prevalence_ratio,0.78,0.83,0.9,53619,165
272,standard,Kogi,0.5,0.833333333,mam_to_sam_rate,0.05,0.13,0.61,25340,214
273,standard,Kogi,0.5,0.833333333,mild_to_mam_rate,0.21,0.37,0.75,25340,214
274,standard,Kogi,0.5,0.833333333,tmrel_to_mild_rate,0.59,0.69,0.87,25340,214
275,standard,Kogi,0.833333333,1.5,mam_to_sam_rate,0.67,0.78,0.89,25340,214
276,standard,Kogi,0.833333333,1.5,mild_to_mam_rate,0.82,0.89,0.95,25340,214
277,standard,Kogi,0.833333333,1.5,tmrel_to_mild_rate,0.85,0.9,0.97,25340,214
